Camera.trap.days	species	sd
330	330	16.64	1.26746386396798
331	331	16.65	1.25830573921179
332	332	16.65	1.25830573921179
333	333	16.65	1.25830573921179
334	334	16.66	1.24899959967968
335	335	16.67	1.22313556323925
336	336	16.69	1.22840949971494
337	337	16.69	1.22840949971494
338	338	16.7	1.22680499878771
339	339	16.72	1.20671521750644
340	340	16.73	1.21318513913507
341	341	16.75	1.20079939703482
342	342	16.75	1.20079939703482
343	343	16.77	1.17941091270604
344	344	16.79	1.19167991092449
345	345	16.8	1.19764077850724
346	346	16.83	1.18112256140102
347	347	16.83	1.18112256140102
348	348	16.83	1.18112256140102
349	349	16.84	1.17825414418233
350	350	16.84	1.17825414418233
351	351	16.84	1.17825414418233
352	352	16.85	1.16666666666667
353	353	16.88	1.14838490010444
354	354	16.9	1.15031835733953
355	355	16.92	1.15189786303677
356	356	16.93	1.15692905940029
357	357	16.95	1.15797629116882
358	358	16.97	1.13221870321912
359	359	16.97	1.13221870321912
360	360	16.98	1.12797306365145
361	361	16.99	1.14145928220383
362	362	17	1.13707048722992
363	363	17	1.13707048722992
364	364	17.01	1.15902257671425
365	365	17.01	1.15902257671425
366	366	17.02	1.16324172601025
367	367	17.04	1.17996747087504
368	368	17.06	1.17911111872589
369	369	17.07	1.16562724259811
370	370	17.07	1.16562724259811
371	371	17.07	1.16562724259811
372	372	17.1	1.16774841624228
373	373	17.11	1.15378166097929
374	374	17.12	1.17447602759441
375	375	17.14	1.16358901418817
376	376	17.15	1.15797629116882
377	377	17.18	1.1580199052737
378	378	17.2	1.16341538305773
379	379	17.2	1.16341538305773
380	380	17.21	1.16597382024424
381	381	17.22	1.15102062746438
382	382	17.22	1.15102062746438
383	383	17.23	1.16215578155687
384	384	17.23	1.16215578155687
385	385	17.24	1.16445678149066
386	386	17.24	1.16445678149066
387	387	17.24	1.16445678149066
388	388	17.25	1.17529278535739
389	389	17.26	1.18594462200587
390	390	17.28	1.16410975219329
391	391	17.32	1.14486115782966
392	392	17.32	1.14486115782966
393	393	17.32	1.14486115782966
394	394	17.32	1.14486115782966
395	395	17.33	1.13755896728056
396	396	17.34	1.13012022244172
397	397	17.34	1.13012022244172
398	398	17.35	1.11350751676807
399	399	17.35	1.11350751676807
400	400	17.35	1.11350751676807
401	401	17.35	1.11350751676807
402	402	17.36	1.1238462096881
403	403	17.36	1.1238462096881
404	404	17.37	1.10695688053037
405	405	17.37	1.10695688053037
406	406	17.37	1.10695688053037
407	407	17.37	1.10695688053037
408	408	17.38	1.10809692169899
409	409	17.38	1.10809692169899
410	410	17.4	1.11010055054632
411	411	17.41	1.1200198410941
412	412	17.41	1.1200198410941
413	413	17.41	1.1200198410941
414	414	17.42	1.12976264602953
415	415	17.43	1.13933349291628
416	416	17.44	1.13101366887935
417	417	17.45	1.13150476371204
418	418	17.46	1.1319064100941
419	419	17.46	1.1319064100941
420	420	17.47	1.13221870321912
421	421	17.47	1.13221870321912
422	422	17.47	1.13221870321912
423	423	17.47	1.13221870321912
424	424	17.48	1.12348663642351
425	425	17.5	1.11464085804543
426	426	17.51	1.11459554652046
427	427	17.51	1.11459554652046
428	428	17.51	1.11459554652046
429	429	17.52	1.12348663642351
430	430	17.53	1.13221870321912
431	431	17.53	1.13221870321912
432	432	17.54	1.1319064100941
433	433	17.54	1.1319064100941
434	434	17.55	1.14039688288992
435	435	17.57	1.12146188864213
436	436	17.57	1.12146188864213
437	437	17.59	1.11096463681002
438	438	17.61	1.1272116307979
439	439	17.63	1.12505892101595
440	440	17.63	1.12505892101595
441	441	17.64	1.14168049095811
442	442	17.65	1.12254220860554
443	443	17.65	1.12254220860554
444	444	17.66	1.11210056953842
445	445	17.69	1.10732182140587
446	446	17.7	1.11464085804543
447	447	17.7	1.11464085804543
448	448	17.7	1.11464085804543
449	449	17.7	1.11464085804543
450	450	17.7	1.11464085804543
451	451	17.7	1.11464085804543
452	452	17.7	1.11464085804543
453	453	17.73	1.09963262919573
454	454	17.73	1.09963262919573
455	455	17.73	1.09963262919573
456	456	17.73	1.09963262919573
457	457	17.73	1.09963262919573
458	458	17.73	1.09963262919573
459	459	17.73	1.09963262919573
460	460	17.76	1.1020641789594
461	461	17.76	1.1020641789594
462	462	17.76	1.1020641789594
463	463	17.78	1.09710362483968
464	464	17.78	1.09710362483968
465	465	17.8	1.11010055054632
466	466	17.8	1.11010055054632
467	467	17.8	1.11010055054632
468	468	17.8	1.11010055054632
469	469	17.8	1.11010055054632
470	470	17.8	1.11010055054632
471	471	17.8	1.11010055054632
472	472	17.8	1.11010055054632
473	473	17.8	1.11010055054632
474	474	17.8	1.11010055054632
475	475	17.83	1.12864448957073
476	476	17.83	1.12864448957073
477	477	17.83	1.12864448957073
478	478	17.83	1.12864448957073
479	479	17.83	1.12864448957073
480	480	17.85	1.13150476371204
481	481	17.86	1.13724814061547
482	482	17.86	1.13724814061547
483	483	17.86	1.13724814061547
484	484	17.86	1.13724814061547
485	485	17.87	1.134001585519
486	486	17.87	1.134001585519
487	487	17.88	1.11264540532004
488	488	17.88	1.11264540532004
489	489	17.89	1.11821466651267
490	490	17.89	1.11821466651267
491	491	17.89	1.11821466651267
492	492	17.9	1.10554159678513
493	493	17.91	1.11096463681002
494	494	17.91	1.11096463681002
495	495	17.91	1.11096463681002
496	496	17.91	1.11096463681002
497	497	17.91	1.11096463681002
498	498	17.92	1.11627084798476
499	499	17.92	1.11627084798476
500	500	17.93	1.12146188864213
501	501	17.93	1.12146188864213
502	502	17.93	1.12146188864213
503	503	17.94	1.12653935088434
504	504	17.95	1.12254220860554
505	505	17.95	1.12254220860554
506	506	17.95	1.12254220860554
507	507	17.95	1.12254220860554
508	508	17.95	1.12254220860554
509	509	17.95	1.12254220860554
510	510	17.95	1.12254220860554
511	511	17.95	1.12254220860554
512	512	17.95	1.12254220860554
513	513	17.97	1.14992314192003
514	514	17.97	1.14992314192003
515	515	17.98	1.1457431093955
516	516	17.98	1.1457431093955
517	517	17.98	1.1457431093955
518	518	17.98	1.1457431093955
519	519	18	1.14591941825388
520	520	18.02	1.11898222153938
521	521	18.02	1.11898222153938
522	522	18.02	1.11898222153938
523	523	18.03	1.13221870321912
524	524	18.04	1.13635959595241
525	525	18.04	1.13635959595241
526	526	18.04	1.13635959595241
527	527	18.05	1.14922020113948
528	528	18.05	1.14922020113948
529	529	18.06	1.14433166061896
530	530	18.06	1.14433166061896
531	531	18.07	1.13043300901857
532	532	18.07	1.13043300901857
533	533	18.07	1.13043300901857
534	534	18.07	1.13043300901857
535	535	18.08	1.14309521329882
536	536	18.08	1.14309521329882
537	537	18.08	1.14309521329882
538	538	18.08	1.14309521329882
539	539	18.11	1.10914472464238
540	540	18.14	1.11028251932887
541	541	18.14	1.11028251932887
542	542	18.15	1.11350751676807
543	543	18.16	1.10754984838908
544	544	18.16	1.10754984838908
545	545	18.16	1.10754984838908
546	546	18.16	1.10754984838908
547	547	18.17	1.11060089295586
548	548	18.19	1.10732182140587
549	549	18.2	1.11010055054632
550	550	18.21	1.12182211089141
551	551	18.23	1.10878038375232
552	552	18.23	1.10878038375232
553	553	18.23	1.10878038375232
554	554	18.23	1.10878038375232
555	555	18.23	1.10878038375232
556	556	18.24	1.09286020805199
557	557	18.24	1.09286020805199
558	558	18.25	1.10439891782678
559	559	18.27	1.10878038375232
560	560	18.27	1.10878038375232
561	561	18.27	1.10878038375232
562	562	18.27	1.10878038375232
563	563	18.27	1.10878038375232
564	564	18.27	1.10878038375232
565	565	18.27	1.10878038375232
566	566	18.28	1.10169749647413
567	567	18.29	1.11278157258414
568	568	18.29	1.11278157258414
569	569	18.31	1.11640657305645
570	570	18.31	1.11640657305645
571	571	18.32	1.1180791609278
572	572	18.32	1.1180791609278
573	573	18.32	1.1180791609278
574	574	18.32	1.1180791609278
575	575	18.34	1.11210056953842
576	576	18.34	1.11210056953842
577	577	18.34	1.11210056953842
578	578	18.34	1.11210056953842
579	579	18.34	1.11210056953842
580	580	18.34	1.11210056953842
581	581	18.34	1.11210056953842
582	582	18.35	1.11350751676807
583	583	18.36	1.1238462096881
584	584	18.36	1.1238462096881
585	585	18.36	1.1238462096881
586	586	18.36	1.1238462096881
587	587	18.36	1.1238462096881
588	588	18.36	1.1238462096881
589	589	18.36	1.1238462096881
590	590	18.36	1.1238462096881
591	591	18.36	1.1238462096881
592	592	18.37	1.11604460285221
593	593	18.37	1.11604460285221
594	594	18.37	1.11604460285221
595	595	18.37	1.11604460285221
596	596	18.37	1.11604460285221
597	597	18.37	1.11604460285221
598	598	18.38	1.10809692169899
599	599	18.38	1.10809692169899
600	600	18.39	1.09077861172558
601	601	18.41	1.09262911540851
602	602	18.41	1.09262911540851
603	603	18.43	1.09410726488343
604	604	18.44	1.09470719298991
605	605	18.44	1.09470719298991
606	606	18.47	1.09595214818491
607	607	18.47	1.09595214818491
608	608	18.47	1.09595214818491
609	609	18.47	1.09595214818491
610	610	18.48	1.09618254028066
611	611	18.48	1.09618254028066
612	612	18.48	1.09618254028066
613	613	18.48	1.09618254028066
614	614	18.49	1.08706815412704
615	615	18.52	1.09618254028066
616	616	18.53	1.10513036846932
617	617	18.53	1.10513036846932
618	618	18.54	1.1139156524657
619	619	18.55	1.09521456778795
620	620	18.56	1.08544084047995
621	621	18.56	1.08544084047995
622	622	18.56	1.08544084047995
623	623	18.56	1.08544084047995
624	624	18.56	1.08544084047995
625	625	18.57	1.08483578797378
626	626	18.59	1.07398060663791
627	627	18.59	1.07398060663791
628	628	18.6	1.06363204695662
629	629	18.61	1.07209791502173
630	630	18.61	1.07209791502173
631	631	18.61	1.07209791502173
632	632	18.63	1.06983431172563
633	633	18.63	1.06983431172563
634	634	18.63	1.06983431172563
635	635	18.63	1.06983431172563
636	636	18.63	1.06983431172563
637	637	18.63	1.06983431172563
638	638	18.63	1.06983431172563
639	639	18.64	1.06855892763019
640	640	18.64	1.06855892763019
641	641	18.64	1.06855892763019
642	642	18.64	1.06855892763019
643	643	18.64	1.06855892763019
644	644	18.65	1.07661084384791
645	645	18.67	1.05461946797043
646	646	18.67	1.05461946797043
647	647	18.67	1.05461946797043
648	648	18.67	1.05461946797043
649	649	18.68	1.03357768371943
650	650	18.69	1.03176812053167
651	651	18.69	1.03176812053167
652	652	18.71	1.04731498932684
653	653	18.71	1.04731498932684
654	654	18.71	1.04731498932684
655	655	18.73	1.03333333333333
656	656	18.73	1.03333333333333
657	657	18.73	1.03333333333333
658	658	18.73	1.03333333333333
659	659	18.73	1.03333333333333
660	660	18.73	1.03333333333333
661	661	18.74	1.03103360906922
662	662	18.74	1.03103360906922
663	663	18.75	1.0286305498481
664	664	18.76	1.02612342967564
665	665	18.76	1.02612342967564
666	666	18.76	1.02612342967564
667	667	18.78	1.02079390771115
668	668	18.79	1.03762549441823
669	669	18.8	1.04446593573419
670	670	18.8	1.04446593573419
671	671	18.8	1.04446593573419
672	672	18.8	1.04446593573419
673	673	18.82	1.06723469723857
674	674	18.84	1.07984286174453
675	675	18.84	1.07984286174453
676	676	18.85	1.08595254467814
677	677	18.85	1.08595254467814
678	678	18.85	1.08595254467814
679	679	18.87	1.08855385486869
680	680	18.87	1.08855385486869
681	681	18.88	1.10352969048312
682	682	18.88	1.10352969048312
683	683	18.89	1.1
684	684	18.89	1.1
685	685	18.9	1.09636681909852
686	686	18.91	1.09262911540851
687	687	18.92	1.08878581247854
688	688	18.92	1.08878581247854
689	689	18.93	1.09410726488343
690	690	18.93	1.09410726488343
691	691	18.94	1.07139105273415
692	692	18.94	1.07139105273415
693	693	18.94	1.07139105273415
694	694	18.94	1.07139105273415
695	695	18.96	1.07233343223971
696	696	18.96	1.07233343223971
697	697	18.96	1.07233343223971
698	698	18.98	1.08227220758603
699	699	18.98	1.08227220758603
700	700	18.98	1.08227220758603
701	701	18.98	1.08227220758603
702	702	18.98	1.08227220758603
703	703	18.98	1.08227220758603
704	704	18.98	1.08227220758603
705	705	18.99	1.08706815412704
706	706	18.99	1.08706815412704
707	707	18.99	1.08706815412704
708	708	18.99	1.08706815412704
709	709	18.99	1.08706815412704
710	710	18.99	1.08706815412704
711	711	19	1.08245885451465
712	712	19.01	1.08706815412704
713	713	19.02	1.09156545910685
714	714	19.03	1.08669641156539
715	715	19.05	1.08595254467814
716	716	19.05	1.08595254467814
717	717	19.05	1.08595254467814
718	718	19.07	1.08483578797378
719	719	19.08	1.07946863097198
720	720	19.08	1.07946863097198
721	721	19.08	1.07946863097198
722	722	19.08	1.07946863097198
723	723	19.1	1.06836985235177
724	724	19.11	1.04344998863763
725	725	19.12	1.04717030924566
726	726	19.12	1.04717030924566
727	727	19.13	1.04112410112311
728	728	19.13	1.04112410112311
729	729	19.13	1.04112410112311
730	730	19.14	1.04465933744601
731	731	19.15	1.0480862791225
732	732	19.15	1.0480862791225
733	733	19.15	1.0480862791225
734	734	19.16	1.0609696346534
735	735	19.17	1.05461946797043
736	736	19.17	1.05461946797043
737	737	19.17	1.05461946797043
738	738	19.18	1.06723469723857
739	739	19.18	1.06723469723857
740	740	19.19	1.07960898271344
741	741	19.2	1.06363204695662
742	742	19.2	1.06363204695662
743	743	19.2	1.06363204695662
744	744	19.2	1.06363204695662
745	745	19.2	1.06363204695662
746	746	19.2	1.06363204695662
747	747	19.2	1.06363204695662
748	748	19.2	1.06363204695662
749	749	19.2	1.06363204695662
750	750	19.2	1.06363204695662
751	751	19.2	1.06363204695662
752	752	19.21	1.05691565750097
753	753	19.22	1.06912595283732
754	754	19.22	1.06912595283732
755	755	19.22	1.06912595283732
756	756	19.22	1.06912595283732
757	757	19.22	1.06912595283732
758	758	19.22	1.06912595283732
759	759	19.22	1.06912595283732
760	760	19.23	1.08110493421678
761	761	19.23	1.08110493421678
762	762	19.23	1.08110493421678
763	763	19.23	1.08110493421678
764	764	19.24	1.08357806093581
765	765	19.25	1.08595254467814
766	766	19.25	1.08595254467814
767	767	19.25	1.08595254467814
768	768	19.25	1.08595254467814
769	769	19.25	1.08595254467814
770	770	19.25	1.08595254467814
771	771	19.25	1.08595254467814
772	772	19.25	1.08595254467814
773	773	19.25	1.08595254467814
774	774	19.25	1.08595254467814
775	775	19.25	1.08595254467814
776	776	19.26	1.09747184221029
777	777	19.26	1.09747184221029
778	778	19.26	1.09747184221029
779	779	19.26	1.09747184221029
780	780	19.26	1.09747184221029
781	781	19.26	1.09747184221029
782	782	19.27	1.07172097981978
783	783	19.27	1.07172097981978
784	784	19.27	1.07172097981978
785	785	19.28	1.06439151299195
786	786	19.28	1.06439151299195
787	787	19.3	1.05887304300946
788	788	19.3	1.05887304300946
789	789	19.3	1.05887304300946
790	790	19.3	1.05887304300946
791	791	19.31	1.05116577900419
792	792	19.31	1.05116577900419
793	793	19.31	1.05116577900419
794	794	19.31	1.05116577900419
795	795	19.31	1.05116577900419
796	796	19.33	1.05461946797043
797	797	19.35	1.0480862791225
798	798	19.35	1.0480862791225
799	799	19.36	1.04948279710253
800	800	19.36	1.04948279710253
801	801	19.36	1.04948279710253
802	802	19.37	1.03137644618121
803	803	19.38	1.03259993524241
804	804	19.38	1.03259993524241
805	805	19.4	1.04446593573419
806	806	19.4	1.04446593573419
807	807	19.4	1.04446593573419
808	808	19.41	1.03567671723674
809	809	19.41	1.03567671723674
810	810	19.41	1.03567671723674
811	811	19.41	1.03567671723674
812	812	19.41	1.03567671723674
813	813	19.42	1.02671389108233
814	814	19.42	1.02671389108233
815	815	19.43	1.00759740236492
816	816	19.43	1.00759740236492
817	817	19.44	0.988008915021325
818	818	19.44	0.988008915021325
819	819	19.44	0.988008915021325
820	820	19.45	0.998736575616788
821	821	19.45	0.998736575616788
822	822	19.45	0.998736575616788
823	823	19.45	0.998736575616788
824	824	19.45	0.998736575616788
825	825	19.47	0.999545351192686
826	826	19.47	0.999545351192686
827	827	19.47	0.999545351192686
828	828	19.47	0.999545351192686
829	829	19.47	0.999545351192686
830	830	19.48	0.989643339488494
831	831	19.48	0.989643339488494
832	832	19.49	0.989796428411908
833	833	19.49	0.989796428411908
834	834	19.49	0.989796428411908
835	835	19.5	0.979589689408764
836	836	19.51	0.969171259010981
837	837	19.51	0.969171259010981
838	838	19.51	0.969171259010981
839	839	19.51	0.969171259010981
840	840	19.51	0.969171259010981
841	841	19.51	0.969171259010981
842	842	19.51	0.969171259010981
843	843	19.52	0.969014911644759
844	844	19.52	0.969014911644759
845	845	19.54	0.968389269755597
846	846	19.55	0.94681816969503
847	847	19.55	0.94681816969503
848	848	19.55	0.94681816969503
849	849	19.56	0.946231227213272
850	850	19.56	0.946231227213272
851	851	19.56	0.946231227213272
852	852	19.56	0.946231227213272
853	853	19.56	0.946231227213272
854	854	19.58	0.955367611303247
855	855	19.59	0.964993327029841
856	856	19.59	0.964993327029841
857	857	19.59	0.964993327029841
858	858	19.6	0.963998407308295
859	859	19.61	0.9733312577811
860	860	19.64	0.958955660912411
861	861	19.64	0.958955660912411
862	862	19.64	0.958955660912411
863	863	19.64	0.958955660912411
864	864	19.64	0.958955660912411
865	865	19.64	0.958955660912411
866	866	19.64	0.958955660912411
867	867	19.64	0.958955660912411
868	868	19.64	0.958955660912411
869	869	19.64	0.958955660912411
870	870	19.64	0.958955660912411
871	871	19.65	0.957427107756338
872	872	19.65	0.957427107756338
873	873	19.66	0.966300871228715
874	874	19.66	0.966300871228715
875	875	19.66	0.966300871228715
