"","11","21","22","23","24","31","41","42","43","52","71","81","82","90","95"
"A_1_PEPE_M",185737.347696,1730010.72425,852622.872279,727029.046694,228191.598598,0,2241230.66219,1572576.21049,470534.614162,125593.825585,84908.5018037,4335640.37335,1721166.08865,5066207.27429,346709.715699
"A_2_PEPE_M",212271.254509,1818457.0803,925148.884236,788941.495926,235267.307081,0,2235923.88083,1551349.08504,459921.051437,130900.606947,90215.2831665,4250731.87155,1618568.31563,5016677.3149,362630.059787
"A_3_PEPE_M",238805.161323,528909.209152,44223.1780228,19458.19833,0,0,14529967.3712,762407.589113,847316.090916,130900.606947,44223.1780228,422773.581898,0,2106792.201,107904.554376
"A_4_PEPE_M",261801.213895,541291.698999,44223.1780228,17689.2712091,0,0,14529967.3712,822551.111224,810168.621377,129131.679827,45992.1051437,424542.509019,0,2039572.97041,104366.700134
"A_5_PEPE_M",242343.015565,514757.792185,44223.1780228,17689.2712091,0,0,14669712.6137,741180.463662,822551.111224,130900.606947,44223.1780228,415697.873414,0,2041341.89753,102597.773013
"A_6_PEPE_M",54836.7407482,290104.047829,189275.201937,35378.5424182,1768.927121,5306.781363,7494944.2113,3072626.40902,304255.464797,470534.614162,58374.5949901,3314969.42459,352016.497061,3559081.36727,620893.41944
"A_7_PEPE_M",60143.522111,295410.829192,196350.910421,38916.39666,1768.927121,5306.781363,7305669.00936,2938187.94783,277721.557983,451076.415832,49529.9593855,3695288.75558,479379.249767,3410491.48912,606742.002472
"A_8_PEPE_M",60143.522111,307793.319039,198119.837542,38916.39666,1768.927121,5306.781363,7323358.28057,2851510.51891,263570.141016,458152.124316,58374.5949901,3776659.40314,527140.282031,3290204.44489,649196.253374
"A_9_PEPE_M",1294854.65251,228191.598598,141514.169673,19458.19833,3537.854242,3537.854242,14338923.2421,482917.104009,562518.82445,14151.4169673,323713.663127,0,0,2490649.38624,54836.7407482
"A_10_PEPE_",1556655.8664,205195.546026,132669.534068,19458.19833,3537.854242,7075.708484,14029360.9959,504144.22946,580208.095659,14151.4169673,306024.391918,0,0,2536641.49139,63681.3763528
"A_11_PEPE_",1022439.87589,164510.222245,136207.38831,19458.19833,1768.927121,10613.5627255,14542349.861,474072.468404,617355.565198,14151.4169673,288335.120708,0,0,2593247.15926,67219.2305946
"A_12_PEPE_",40685.323781,813706.475619,153896.659519,68988.1577155,0,15920.3440882,8938388.74196,5435913.04256,875618.924851,663347.670342,203426.618905,160972.368003,0,2444657.2811,17689.2712091
"A_13_PEPE_",40685.323781,787172.568805,150358.805277,65450.3034737,0,15920.3440882,9056906.85906,5393458.79166,872081.070609,650965.180495,199888.764663,141514.169673,0,2432274.79125,19458.19833
"A_14_PEPE_",385626.112359,564287.751571,37147.4695391,12382.4898464,0,0,14986350.5684,1379763.15431,1153340.48283,106135.627255,28302.8339346,318406.881764,0,771252.224717,40685.323781
"A_15_PEPE_",260032.286774,543060.62612,44223.1780228,17689.2712091,0,0,14528198.444,822551.111224,810168.621377,129131.679827,45992.1051437,424542.509019,0,2041341.89753,104366.700134
"A_16_PEPE_",245880.869807,514757.792185,44223.1780228,17689.2712091,0,0,14646716.5611,739411.536541,824320.038345,132669.534068,44223.1780228,417466.800535,0,2046648.67889,102597.773013
"A_17_PEPE_",410391.092051,502375.302339,28302.8339346,5306.781363,0,0,15037649.4549,1431062.04082,1162185.11844,102597.773013,30071.7610555,284797.266467,0,757100.80775,42454.2509019
"A_18_PEPE_",413928.946293,511219.937943,31840.6881764,5306.781363,0,0,14924438.1191,1477054.14596,1181643.31677,95522.0645292,30071.7610555,311331.17328,0,762407.589113,42454.2509019
"A_19_PEPE_",238805.161323,528909.209152,44223.1780228,19458.19833,0,0,14537043.0796,762407.589113,847316.090916,130900.606947,44223.1780228,422773.581898,0,2106792.201,107904.554376
"A_20_PEPE_",60143.522111,297179.756313,196350.910421,38916.39666,1768.927121,5306.781363,7291517.5924,2936419.02071,274183.703741,451076.415832,49529.9593855,3711209.09967,484686.03113,3410491.48912,603204.148231
"A_21_PEPE_",60143.522111,307793.319039,199888.764663,38916.39666,1768.927121,5306.781363,7326896.13481,2851510.51891,263570.141016,454614.270074,58374.5949901,3774890.47602,527140.282031,3297280.15338,650965.180495
"A_22_PEPE_",130900.606947,1627412.95124,666885.524583,606742.002472,214040.18163,0,2462346.55231,1689325.40047,539522.771878,107904.554376,81370.6475619,4411704.23955,1765389.26667,5053824.78444,334327.225852
"A_23_PEPE_",185737.347696,1730010.72425,857929.653642,730566.900936,228191.598598,0,2228848.17235,1572576.21049,474072.468404,125593.825585,83139.5746828,4328564.66487,1728241.79713,5067976.20141,344940.788578
"A_24_PEPE_",212271.254509,1818457.0803,925148.884236,787172.568805,235267.307081,0,2230617.09947,1551349.08504,459921.051437,130900.606947,90215.2831665,4252500.79867,1622106.16988,5016677.3149,362630.059787
"A_25_PEPE_",40685.323781,787172.568805,150358.805277,65450.3034737,0,17689.2712091,9074596.13027,5389920.93742,873849.99773,650965.180495,199888.764663,141514.169673,0,2437581.57262,19458.19833
"A_26_PEPE_",40685.323781,827857.892586,153896.659519,72526.0119574,1768.927121,15920.3440882,8934850.88772,5333315.26955,852622.872279,677499.087309,208733.400267,180430.566333,0,2510107.58457,17689.2712091
"A_27_PEPE_",40685.323781,811937.548498,153896.659519,68988.1577155,0,15920.3440882,8945464.45045,5432375.18832,875618.924851,663347.670342,203426.618905,160972.368003,0,2446426.20822,17689.2712091
