"","open_water","developed_open_space","developed_low_intensity","developed_medium_inensity","developed_high_intensity","barren_land","deciduous_forest","evergreen_forest","mixed_forest","shrub_scrub","grassland_herbaceous","pasture_hay","cultivated_crops","woody_wetlands","emergent_herbaceous_wetlands"
"P2_C0250",182700,1640700,207000,113400,5400,13500,20201400,7506000,1986300,1143000,585900,375300,0,4932900,98100
"P2_C0253",182700,1640700,207000,113400,5400,13500,20201400,7506000,1986300,1143000,585900,375300,0,4932900,98100
"P2_C0254",888300,1106100,86400,39600,900,17100,27550800,2590200,2177100,382500,132300,927900,0,2932200,163800
"P2_C0255",215100,564300,348300,78300,5400,6300,14662800,3575700,360900,732600,142200,8715600,1296000,6922800,1367100
"P2_C0264",6238800,495000,207900,49500,2700,10800,23922900,1413000,1135800,807300,401400,0,0,4216500,87300
"P2_C0265",6238800,495000,207900,49500,2700,10800,23922900,1413000,1135800,807300,401400,0,0,4216500,87300
"P2_C0266",536400,2942100,1833300,1354500,443700,11700,7255800,2840400,1224900,228600,167400,8349300,3047400,8102700,657000
"P2_C0267",536400,2942100,1833300,1354500,443700,11700,7255800,2840400,1224900,228600,167400,8349300,3047400,8102700,657000
"P2_C0271",6357600,609300,222300,53100,4500,21600,23816700,1410300,1094400,721800,404100,0,0,4173300,87300
"P2_C0273",6357600,609300,222300,53100,4500,21600,23816700,1410300,1094400,721800,404100,0,0,4173300,87300
"P2_C0276",555300,2990700,1899900,1413900,462600,11700,7263000,2789100,1205100,227700,168300,8506800,2952900,7904700,639900
"P2_C0278",555300,2990700,1899900,1413900,462600,11700,7263000,2789100,1205100,227700,168300,8506800,2952900,7904700,639900
"P2_C0279",768600,1103400,88200,39600,900,17100,27781200,2524500,2124000,381600,147600,939600,0,2886300,164700
"P2_C0280",494100,2751300,1603800,1211400,419400,11700,7283700,2862900,1224000,240300,153000,8514000,3267900,8295300,654300
"P2_C0282",494100,2751300,1603800,1211400,419400,11700,7283700,2862900,1224000,240300,153000,8514000,3267900,8295300,654300
"P2_C0287",468900,1132200,66600,32400,0,29700,28161000,1564200,2062800,255600,235800,543600,0,4215600,220500
"P2_C0290",484200,1090800,61200,28800,0,29700,28342800,1545300,2010600,303300,236700,508500,0,4131900,217800
"P2_C0292",970200,974700,61200,34200,900,0,27366300,2345400,1689300,512100,153900,479700,0,4310100,96300
"P2_C0293",970200,974700,61200,34200,900,0,27366300,2345400,1689300,512100,153900,479700,0,4310100,96300
"P2_C0294",6239700,495000,207900,49500,2700,10800,23922900,1413000,1135800,807300,401400,0,0,4216500,87300
"P2_C0295",477900,1122300,72000,33300,0,29700,28233000,1552500,2058300,258300,235800,539100,0,4146300,229500
"P2_C0296",485100,1090800,61200,28800,0,29700,28328400,1546200,2012400,304200,236700,508500,0,4128300,217800
"P2_C0297",468900,1132200,66600,32400,0,29700,28161900,1564200,2063700,255600,235800,543600,0,4216500,220500
"P2_C0298",6830100,584100,213300,50400,2700,13500,23596200,1411200,1120500,648900,401400,0,0,4038300,86400
"P2_C0299",181800,1640700,207000,113400,5400,13500,20200500,7503300,1986300,1142100,587700,375300,0,4932000,98100
"P2_C0300",198000,1624500,207000,117900,5400,13500,20298600,7512300,2008800,1075500,545400,357300,0,4928400,100800
"P2_C0301",888300,1106100,86400,39600,900,17100,27550800,2590200,2177100,382500,132300,927900,0,2932200,163800
"P2_C0302",711900,929700,55800,25200,0,0,28166400,2018700,1696500,602100,99000,480600,0,4073400,111600
"P2_C0303",711900,929700,55800,25200,0,0,28166400,2018700,1696500,602100,99000,480600,0,4073400,111600
"P2_C0304",973800,845100,63000,24300,1800,0,26681400,1997100,1540800,541800,230400,328500,0,5684400,70200
"P2_C0305",973800,845100,63000,24300,1800,0,26681400,1997100,1540800,541800,230400,328500,0,5684400,70200
"P2_C0306",6356700,608400,222300,53100,4500,21600,23822100,1408500,1093500,721800,404100,0,0,4175100,87300
"P2_C0307",140400,1639800,206100,114300,5400,13500,20206800,7605000,1994400,1142100,567000,372600,0,4863600,97200
"P2_C0308",992700,914400,59400,33300,900,0,27029700,2004300,1654200,468900,186300,478800,0,5097600,70200
"P2_C0309",992700,914400,59400,33300,900,0,27029700,2004300,1654200,468900,186300,478800,0,5097600,70200
"P2_C0310",768600,1103400,88200,39600,900,17100,27781200,2524500,2124000,381600,147600,939600,0,2886300,164700
"P2_C0311",828000,1098000,84600,39600,900,17100,27646200,2534400,2118600,381600,135000,926100,0,2995200,163800
"P2_C0312",489600,2738700,1593900,1208700,417600,11700,7272000,2870100,1223100,243000,153000,8504100,3282300,8318700,654300
"P2_C0313",489600,2738700,1593900,1208700,417600,11700,7272000,2870100,1223100,243000,153000,8504100,3282300,8318700,654300
"P2_C0314",489600,2738700,1593900,1208700,417600,11700,7272000,2870100,1223100,243000,153000,8504100,3282300,8318700,654300
"P2_C0315",555300,2991600,1899900,1415700,462600,11700,7264800,2787300,1206000,227700,168300,8512200,2952900,7904700,639900
"P2_C0316",555300,2991600,1899900,1415700,462600,11700,7264800,2787300,1206000,227700,168300,8512200,2952900,7904700,639900
"P2_C0317",555300,2991600,1899900,1415700,462600,11700,7264800,2787300,1206000,227700,168300,8512200,2952900,7904700,639900
"P2_C0318",536400,2936700,1830600,1354500,443700,11700,7253100,2837700,1222200,227700,167400,8364600,3048300,8083800,657000
"P2_C0319",536400,2936700,1830600,1354500,443700,11700,7253100,2837700,1222200,227700,167400,8364600,3048300,8083800,657000
"P2_C0320",536400,2936700,1830600,1354500,443700,11700,7253100,2837700,1222200,227700,167400,8364600,3048300,8083800,657000
"P2_C0217",486000,2736900,1578600,1196100,413100,11700,7308900,2868300,1213200,241200,153000,8521200,3303000,8313300,650700
"P2_C0219",504000,2801700,1571400,1189800,415800,11700,7549200,2794500,1205100,234900,165600,8757000,3247200,7960500,585000
"P2_C0220",504000,2801700,1571400,1189800,415800,11700,7549200,2794500,1205100,234900,165600,8757000,3247200,7960500,585000
"P2_C0222",504000,2801700,1571400,1189800,415800,11700,7549200,2794500,1205100,234900,165600,8757000,3247200,7960500,585000
"P2_C0225",96300,1179000,146700,67500,900,73800,21266100,6061500,4224600,362700,159300,1177200,131400,3837600,209700
"P2_C0228",502200,2768400,1653300,1244700,429300,11700,7200000,2907000,1236600,243900,155700,8358300,3259800,8360100,668700
"P2_C0229",502200,2768400,1653300,1244700,429300,11700,7200000,2907000,1236600,243900,155700,8358300,3259800,8360100,668700
"P2_C0230",502200,2768400,1653300,1244700,429300,11700,7200000,2907000,1236600,243900,155700,8358300,3259800,8360100,668700
"P2_C0234",486000,2736900,1578600,1196100,413100,11700,7308900,2868300,1213200,241200,153000,8521200,3303000,8313300,650700
"P2_C0235",486000,2736900,1578600,1196100,413100,11700,7308900,2868300,1213200,241200,153000,8521200,3303000,8313300,650700
"P2_C0236",486000,2736900,1578600,1196100,413100,11700,7308900,2868300,1213200,241200,153000,8521200,3303000,8313300,650700
"P2_C0240",621900,3040200,1947600,1439100,500400,11700,6977700,2655000,1229400,243000,293400,9110700,2981700,7375500,567900
"P2_C0241",621900,3040200,1947600,1439100,500400,11700,6977700,2655000,1229400,243000,293400,9110700,2981700,7375500,567900
"P2_C0243",621900,3040200,1947600,1439100,500400,11700,6977700,2655000,1229400,243000,293400,9110700,2981700,7375500,567900
"P2_C0245",598500,3014100,1909800,1407600,465300,11700,7139700,2704500,1186200,239400,263700,9078300,2901600,7504200,564300
"P2_C0246",598500,3014100,1909800,1407600,465300,11700,7139700,2704500,1186200,239400,263700,9078300,2901600,7504200,564300
"P2_C0247",598500,3014100,1909800,1407600,465300,11700,7139700,2704500,1186200,239400,263700,9078300,2901600,7504200,564300
"P2_C0249",589500,2934000,1835100,1350000,451800,11700,7264800,2722500,1164600,238500,233100,9107100,2979000,7547400,568800
"P2_C0251",589500,2934000,1835100,1350000,451800,11700,7264800,2722500,1164600,238500,233100,9107100,2979000,7547400,568800
"P2_C0252",589500,2934000,1835100,1350000,451800,11700,7264800,2722500,1164600,238500,233100,9107100,2979000,7547400,568800
"P2_C0256",654300,3041100,2049300,1566000,545400,9900,6768900,2474100,1206900,252000,292500,9185400,3183300,7128000,637200
"P2_C0257",654300,3041100,2049300,1566000,545400,9900,6768900,2474100,1206900,252000,292500,9185400,3183300,7128000,637200
"P2_C0258",654300,3041100,2049300,1566000,545400,9900,6768900,2474100,1206900,252000,292500,9185400,3183300,7128000,637200
"P2_C0260",618300,3110400,1983600,1484100,514800,11700,6900300,2605500,1243800,236700,289800,8979300,3046500,7398000,570600
"P2_C0261",618300,3110400,1983600,1484100,514800,11700,6900300,2605500,1243800,236700,289800,8979300,3046500,7398000,570600
"P2_C0262",618300,3110400,1983600,1484100,514800,11700,6900300,2605500,1243800,236700,289800,8979300,3046500,7398000,570600
"P2_C0268",568800,2920500,1790100,1323000,441000,11700,7326000,2691900,1165500,236700,211500,9048600,3057300,7623900,576000
"P2_C0269",568800,2920500,1790100,1323000,441000,11700,7326000,2691900,1165500,236700,211500,9048600,3057300,7623900,576000
"P2_C0270",568800,2920500,1790100,1323000,441000,11700,7326000,2691900,1165500,236700,211500,9048600,3057300,7623900,576000
"P2_C0272",568800,2920500,1790100,1323000,441000,11700,7326000,2691900,1165500,236700,211500,9048600,3057300,7623900,576000
"P2_C0274",544500,2905200,1795500,1321200,440100,11700,7334100,2707200,1177200,236700,182700,8946900,3078000,7727400,592200
"P2_C0275",544500,2905200,1795500,1321200,440100,11700,7334100,2707200,1177200,236700,182700,8946900,3078000,7727400,592200
"P2_C0277",544500,2905200,1795500,1321200,440100,11700,7334100,2707200,1177200,236700,182700,8946900,3078000,7727400,592200
"P2_C0281",531000,2872800,1701000,1271700,425700,11700,7414200,2731500,1184400,240300,171000,8912700,3147300,7786800,590400
"P2_C0283",503100,2789100,1620900,1225800,420300,11700,7323300,2828700,1210500,237600,153900,8565300,3241800,8214300,647100
"P2_C0284",503100,2789100,1620900,1225800,420300,11700,7323300,2828700,1210500,237600,153900,8565300,3241800,8214300,647100
"P2_C0285",503100,2789100,1620900,1225800,420300,11700,7323300,2828700,1210500,237600,153900,8565300,3241800,8214300,647100
"P2_C0286",503100,2789100,1620900,1225800,420300,11700,7323300,2828700,1210500,237600,153900,8565300,3241800,8214300,647100
"P2_C0288",531000,2872800,1701000,1271700,425700,11700,7414200,2731500,1184400,240300,171000,8912700,3147300,7786800,590400
"P2_C0289",531000,2872800,1701000,1271700,425700,11700,7414200,2731500,1184400,240300,171000,8912700,3147300,7786800,590400
"P2_C0291",531900,2878200,1682100,1261800,420300,11700,7449300,2728800,1180800,243000,173700,8941500,3144600,7763400,580500
"P2_C0321",999900,4005000,1767600,1304100,425700,41400,35576100,4295700,3248100,495900,406800,9456300,3147300,12003300,810900
"P2_C0221",981900,989100,61200,36900,900,0,27543600,1941300,1547100,568800,188100,467100,0,4581900,86400
"P2_C0242",975600,849600,62100,24300,1800,0,26694900,2066400,1518300,520200,234000,306000,0,5670000,73800
"P2_C0259",987300,865800,60300,32400,900,0,27078300,1917900,1577700,501300,200700,483300,0,5199300,70200
"P2_C0263",1044000,1053000,63900,37800,900,0,26988300,2385000,1738800,499500,198900,490500,0,4399200,93600
"P2_C0322",485100,1090800,61200,28800,0,29700,28328400,1546200,2012400,304200,236700,508500,0,4128300,217800
"P2_C0323",477900,1122300,72000,33300,0,29700,28233000,1552500,2058300,258300,235800,539100,0,4146300,229500
"P2_C0324",495000,2799900,1712700,1287900,437400,11700,7024500,2890800,1233900,231300,198000,8199900,3176100,8604000,682200
"P2_C0325",104400,1456200,140400,36000,7200,61200,21411000,3780000,3242700,228600,222300,2799000,438300,4694400,370800
"P2_C0326",489600,2738700,1593900,1208700,417600,11700,7265700,2871000,1223100,243000,153000,8503200,3282300,8319600,654300
"P2_C0327",555300,2992500,1903500,1416600,463500,11700,7260300,2786400,1208700,227700,168300,8511300,2947500,7902000,639900
"P2_C0328",506700,2808000,1605600,1214100,418500,11700,7409700,2809800,1204200,234900,156600,8703900,3240900,8045100,620100
"P2_C0329",528300,2861100,1675800,1257300,421200,11700,7436700,2742300,1188000,239400,171000,8904600,3164400,7803900,588600
"P2_C0330",590400,2971800,1874700,1388700,457200,11700,7192800,2713500,1164600,238500,229500,9091800,2926800,7557300,578700
"P2_C0331",506700,2808000,1605600,1214100,418500,11700,7409700,2809800,1204200,234900,156600,8703900,3240900,8045100,620100
"P2_C0332",528300,2861100,1675800,1257300,421200,11700,7436700,2742300,1188000,239400,171000,8904600,3164400,7803900,588600
"P2_C0333",181800,1640700,207000,113400,5400,13500,20200500,7503300,1986300,1142100,587700,375300,0,4932000,98100
"P2_C0334",117000,679500,1127700,388800,15300,0,7731900,1094400,664200,270900,306000,16128000,155700,9520200,794700
"P2_C0335",115200,726300,1153800,394200,16200,0,7587000,1128600,630000,266400,331200,16145100,155700,9567000,774900
"P2_C0336",6239700,495000,207900,49500,2700,10800,23922900,1413000,1135800,807300,401400,0,0,4216500,87300
"P2_C0337",140400,1639800,206100,114300,5400,13500,20206800,7605000,1994400,1142100,567000,372600,0,4863600,97200
"P2_C0338",198000,1624500,207000,117900,5400,13500,20298600,7512300,2008800,1075500,545400,357300,0,4928400,100800
"P2_C0339",369000,765900,63000,28800,2700,6300,28567800,1384200,849600,2115900,1085400,186300,0,3292200,281700
"P2_C0340",277200,1137600,112500,54000,3600,6300,26400600,2457000,1113300,1871100,945000,273600,0,4032900,310500
"P2_C0341",622800,1319400,170100,99000,5400,17100,22019400,5537700,1537200,1038600,510300,367200,0,5622300,128700
"P2_C0342",590400,2971800,1874700,1388700,457200,11700,7192800,2713500,1164600,238500,229500,9091800,2926800,7557300,578700
"P2_C0343",506700,2808000,1605600,1214100,418500,11700,7409700,2809800,1204200,234900,156600,8703900,3240900,8045100,620100
"P2_C0344",528300,2861100,1675800,1257300,421200,11700,7436700,2742300,1188000,239400,171000,8904600,3164400,7803900,588600
"P1_C0001",24300,0,0,0,0,0,2213100,1876500,102600,233100,27900,73800,0,1229400,216000
"P1_C0002",40500,71100,6300,900,0,0,2412000,1686600,127800,328500,18900,259200,0,903600,143100
"P1_C0003",900,208800,27900,8100,2700,0,2312100,2037600,611100,95400,27900,63000,473400,107100,23400
"P1_C0004",51300,145800,16200,14400,0,0,4785300,107100,108900,23400,12600,164700,0,547200,23400
"P1_C0005",17100,88200,0,0,0,0,2914200,1287900,151200,52200,75600,18000,0,1382400,13500
"P1_C0006",5400,199800,17100,3600,0,0,1436400,1443600,618300,58500,44100,297900,783900,1071000,17100
"P1_C0007",35100,91800,6300,0,0,900,2458800,1751400,95400,216000,25200,144900,0,1030500,142200
"P1_C0008",116100,67500,900,900,0,0,3911400,108900,17100,113400,32400,511200,0,863100,260100
"P1_C0009",16200,198900,1800,900,0,0,4560300,328500,325800,81000,900,10800,0,441000,32400
"P1_C0010",18900,323100,84600,31500,1800,0,1650600,2669400,169200,184500,64800,12600,0,786600,5400
"P1_C0011",61200,21600,1800,900,0,900,4341600,77400,45000,192600,27900,284400,0,747900,198000
"P1_C0012",0,212400,50400,5400,900,8100,3715200,967500,367200,38700,18000,43200,155700,413100,1800
"P1_C0013",66600,133200,5400,8100,0,0,5061600,112500,135900,14400,9900,53100,0,360000,39600
"P1_C0014",9000,202500,15300,7200,2700,0,1503900,1053900,489600,114300,19800,402300,960300,1179900,38700
"P1_C0015",39600,1800,0,0,0,0,2124900,1995300,115200,289800,31500,114300,0,1112400,177300
"P1_C0016",36900,30600,4500,1800,0,900,4218300,108900,59400,207900,43200,400500,0,688500,198900
"P1_C0017",21600,116100,27000,5400,900,0,2924100,633600,75600,90000,10800,234000,0,1621800,245700
"P1_C0018",50400,157500,1800,900,0,0,4884300,338400,294300,35100,4500,0,0,222300,8100
"P1_C0019",1800,184500,37800,21600,0,12600,2951100,1755000,258300,110700,22500,41400,0,598500,0
"P1_C0020",22500,230400,14400,7200,900,0,2043000,2166300,183600,167400,99900,78300,0,974700,12600
"P1_C0021",49500,7200,0,0,0,0,4586400,98100,44100,72900,36000,196200,0,780300,128700
"P1_C0022",0,153900,54000,9000,900,8100,3077100,1144800,595800,108000,26100,293400,0,517500,9900
"P1_C0023",0,171900,44100,4500,900,8100,3631500,1028700,534600,44100,12600,7200,155700,356400,900
"P1_C0024",2700,279900,5400,900,0,0,1901700,1985400,792000,17100,85500,18900,199800,702000,7200
"P1_C0025",125100,160200,900,0,0,0,4949100,334800,288000,6300,9900,3600,0,117000,6300
"P1_C0026",7200,124200,11700,19800,0,0,4194900,877500,211500,98100,13500,10800,0,409500,16200
"P1_C0027",24300,0,0,0,0,0,2217600,1875600,103500,233100,27900,74700,0,1227600,215100
"P1_C0028",2700,249300,27000,11700,0,1800,3226500,679500,585900,88200,45000,486900,0,585900,11700
"P1_C0029",81000,92700,9000,6300,0,900,2897100,1177200,96300,347400,37800,357300,0,782100,112500
"P1_C0030",39600,90900,7200,900,0,0,2673900,1631700,122400,340200,16200,376200,0,617400,81900
"P1_C0031",23400,170100,69300,34200,7200,25200,1838700,1759500,557100,63000,175500,435600,52200,757800,32400
"P1_C0032",900,195300,47700,11700,900,56700,3119400,1387800,612900,11700,10800,270000,0,270000,1800
"P1_C0033",106200,45900,0,0,0,0,4386600,101700,27900,121500,32400,220500,0,753300,204300
"P1_C0034",0,229500,22500,6300,2700,0,1839600,2211300,576900,72000,7200,53100,720000,255600,900
"P1_C0035",35100,165600,14400,4500,900,0,3116700,1070100,806400,33300,18900,32400,2700,598500,102600
"P1_C0036",22500,173700,2700,0,0,0,2284200,2138400,180900,77400,78300,34200,0,993600,11700
"P1_C0037",45000,110700,900,900,0,0,5267700,107100,172800,4500,4500,7200,0,269100,8100
"P1_C0038",78300,164700,3600,0,900,0,4417200,538200,406800,55800,10800,18900,0,289800,17100
"P1_C0039",5400,170100,18900,13500,900,6300,2196900,1827900,723600,58500,152100,9000,99000,708300,7200
"P1_C0040",73800,93600,900,900,0,0,5389200,96300,180900,900,1800,0,0,157500,4500
"P1_C0041",900,207000,46800,6300,900,8100,2996100,1269900,590400,44100,28800,362700,0,426600,9900
"P1_C0042",2700,279000,44100,24300,0,12600,2405700,2237400,201600,136800,19800,18900,0,618300,900
"P1_C0043",22500,158400,5400,0,0,0,2310300,2332800,200700,98100,58500,18000,0,780300,11700
"P1_C0044",1800,224100,7200,2700,0,0,2482200,2091600,748800,34200,3600,9000,8100,387000,0
"P1_C0045",33300,117000,10800,900,0,0,2789100,1351800,106200,180000,9900,226800,0,1050300,119700
"P1_C0046",36900,104400,5400,900,0,0,2627100,1667700,107100,283500,17100,215100,0,813600,120600
"P1_C0047",170100,124200,900,900,0,0,5202900,196200,208800,4500,6300,0,0,81000,7200
"P1_C0048",119700,69300,900,900,0,0,3890700,54000,7200,124200,34200,442800,0,931500,321300
"P1_C0049",26100,91800,1800,900,900,0,3933000,87300,27900,117000,18900,1034100,0,495000,162000
"P1_C0050",34200,180900,900,900,0,0,4850100,275400,252000,61200,900,7200,0,310500,28800
"P1_C0051",0,194400,3600,1800,0,0,1551600,1859400,846900,23400,66600,195300,448200,799200,10800
"P1_C0052",20700,153900,1800,900,0,0,5003100,284400,291600,18000,1800,1800,0,216900,6300
"P1_C0053",39600,72000,5400,0,0,0,2270700,1937700,102600,315000,25200,158400,0,914400,159300
"P1_C0054",0,148500,51300,7200,900,8100,3605400,983700,497700,46800,18000,107100,48600,472500,6300
"P1_C0055",10800,268200,41400,17100,0,0,2023200,2540700,181800,149400,36900,7200,0,712800,7200
"P1_C0056",50400,128700,9900,4500,900,0,3456900,15300,18900,328500,27900,1019700,0,760500,177300
"P1_C0057",45000,10800,0,0,0,0,4561200,107100,42300,144000,22500,192600,0,723600,148500
"P1_C0058",0,203400,54900,7200,900,8100,3101400,1207800,557100,97200,10800,259200,0,482400,9900
"P1_C0059",92700,94500,1800,900,0,0,3784500,56700,8100,138600,24300,375300,0,1069200,346500
"P1_C0060",12600,112500,2700,0,0,0,3166200,1514700,205200,54000,23400,2700,0,893700,10800
"P1_C0061",0,193500,54000,7200,900,8100,3564000,988200,393300,67500,18000,105300,142200,448200,6300
"P1_C0062",66600,133200,5400,8100,0,0,5061600,112500,135900,14400,9900,53100,0,360000,39600
"P1_C0063",72900,105300,900,2700,0,0,5247900,82800,148500,4500,4500,28800,0,287100,14400
"P1_C0064",30600,163800,21600,4500,900,0,2920500,1260000,797400,115200,31500,50400,23400,486900,91800
"P1_C0065",0,144900,53100,12600,900,43200,3421800,1268100,560700,54000,8100,98100,0,333900,900
"P1_C0066",5400,158400,9000,1800,0,0,1387800,1498500,600300,74700,66600,158400,748800,1268100,23400
"P1_C0067",39600,1800,0,0,0,0,2124900,1995300,115200,289800,31500,114300,0,1112400,177300
"P1_C0068",45900,92700,9000,4500,0,0,2590200,1631700,117000,359100,28800,387900,0,649800,82800
"P1_C0069",38700,1800,0,0,0,0,2130300,1992600,113400,286200,31500,113400,0,1114200,178200
"P1_C0070",54900,24300,2700,900,0,900,4260600,86400,51300,184500,36900,352800,0,749700,191700
"P1_C0071",42300,20700,0,0,0,900,4210200,96300,54900,235800,36900,345600,0,708300,251100
"P1_C0072",28800,113400,9900,0,0,0,3154500,776700,95400,95400,12600,107100,0,1381500,227700
"P1_C0073",42300,194400,22500,1800,0,0,3177000,789300,122400,197100,28800,765000,0,501300,160200
"P1_C0074",89100,187200,1800,0,0,0,4611600,443700,339300,24300,12600,8100,0,262800,17100
"P1_C0075",20700,133200,8100,8100,0,0,2571300,726300,132300,119700,155700,25200,0,2086200,15300
"P1_C0076",92700,83700,1800,900,0,0,3793500,56700,8100,143100,28800,355500,0,1071900,360900
"P1_C0077",35100,117000,40500,8100,900,0,2633400,1028700,93600,129600,9000,204300,0,1526400,175500
"P1_C0078",21600,368100,90900,45900,3600,0,1455300,2504700,257400,247500,152100,92700,0,752400,5400
"P1_C0079",4500,204300,35100,18900,0,12600,2620800,2176200,198900,127800,35100,23400,0,535500,3600
"P1_C0080",18900,81000,0,0,0,0,3089700,1076400,163800,28800,45000,18000,0,1462500,14400
"P1_C0081",50400,202500,10800,4500,900,0,3605400,44100,8100,85500,32400,691200,0,981900,279900
"P1_C0082",118800,180900,3600,0,0,0,4650300,429300,336600,17100,12600,32400,0,200700,17100
"P1_C0083",102600,44100,0,0,0,0,4488300,111600,24300,119700,28800,190800,0,713700,182700
"P1_C0084",15300,211500,12600,5400,0,10800,3048300,855900,675000,28800,53100,334800,0,663300,83700
"P1_C0085",0,141300,44100,6300,900,8100,3662100,1065600,531000,39600,12600,2700,139500,346500,900
"P1_C0086",0,188100,43200,3600,900,8100,3614400,1025100,481500,45900,18000,11700,155700,405000,900
"P1_C0087",0,234000,67500,15300,900,9000,3086100,999000,591300,108900,28800,335700,0,511200,9900
"P1_C0088",3600,213300,18900,7200,2700,0,1842300,807300,372600,129600,18000,564300,1125000,849600,45000
"P1_C0089",0,171000,52200,8100,900,11700,3242700,1295100,684900,7200,6300,138600,0,379800,900
"P1_C0090",46800,165600,900,0,0,0,4603500,405000,401400,45000,4500,0,0,309600,18000
"P1_C0091",1800,245700,16200,5400,2700,0,2276100,2127600,700200,38700,10800,29700,198000,341100,900
"P1_C0092",25200,333900,89100,45900,3600,0,1818900,2218500,270000,223200,176400,172800,0,615600,5400
"P1_C0093",19800,187200,0,0,0,0,3723300,1174500,578700,15300,23400,11700,0,246600,21600
"P1_C0094",48600,63000,0,0,0,0,4377600,110700,31500,81900,33300,332100,0,770400,149400
"P1_C0095",9000,217800,18000,7200,3600,0,1507500,1044900,465300,116100,16200,518400,857700,1174500,45000
"P1_C0096",9000,176400,32400,17100,0,12600,3108600,1755000,202500,131400,34200,43200,0,469800,7200
"P1_C0097",180000,102600,11700,0,0,0,4096800,299700,211500,177300,3600,11700,0,895500,9000
"P1_C0098",234000,95400,8100,0,0,0,4455900,235800,220500,108000,7200,11700,0,615600,5400
"P1_C0099",243900,87300,13500,0,0,0,4431600,238500,198900,75600,6300,1800,0,693900,6300
"P1_C0100",157500,102600,9900,900,0,0,3954600,304200,214200,213300,13500,18000,0,1004400,6300
"P1_C0101",179100,94500,9000,0,0,0,4311900,251100,220500,147600,4500,11700,0,762300,5400
"P1_C0102",29700,89100,2700,0,0,0,4187700,524700,183600,431100,15300,0,0,530100,7200
"P1_C0103",3600,443700,5400,0,0,0,3965400,199800,238500,32400,10800,0,0,1088100,6300
"P1_C0104",36000,182700,0,0,0,0,3371400,823500,116100,116100,530100,0,0,810900,14400
"P1_C0105",4500,187200,0,900,0,0,4725000,126000,242100,184500,52200,0,0,477000,1800
"P1_C0106",3600,378900,2700,0,0,0,4516200,117900,148500,71100,5400,0,0,753300,2700
"P1_C0107",238500,873900,403200,360900,117000,1800,940500,592200,129600,63900,53100,316800,128700,1691100,89100
"P1_C0108",18900,132300,6300,0,0,0,2496600,1126800,132300,125100,117000,28800,0,1798200,17100
"P1_C0109",188100,232200,19800,9000,1800,900,2925000,624600,245700,39600,31500,942300,0,636300,99900
"P1_C0110",50400,126900,3600,9000,0,0,5127300,81000,136800,10800,9000,70200,0,352800,18900
"P1_C0111",197100,220500,0,0,0,0,4603500,269100,29700,48600,12600,0,0,607500,9000
"P1_C0112",110700,323100,9000,0,0,0,3857400,579600,67500,32400,9000,0,0,999900,9000
"P1_C0113",245700,250200,23400,9900,900,21600,3083400,589500,221400,46800,68400,865800,0,504900,69300
"P1_C0114",4500,48600,59400,9000,0,900,4668300,377100,432000,70200,28800,0,0,297900,5400
"P1_C0115",87300,176400,3600,0,0,0,4849200,241200,53100,52200,4500,0,0,512100,17100
"P1_C0116",18900,250200,5400,900,0,900,4171500,333000,172800,173700,25200,0,0,840600,8100
"P1_C0117",72900,243000,2700,0,0,0,3820500,508500,99900,13500,7200,0,0,1193400,39600
"P1_C0118",183600,15300,4500,0,0,0,4997700,44100,143100,2700,7200,0,0,599400,7200
"P1_C0119",252900,310500,36900,12600,900,41400,3267000,505800,163800,90900,108900,685800,0,468900,54900
"P1_C0120",96300,182700,4500,0,900,0,4508100,449100,364500,34200,12600,62100,0,267300,19800
"P1_C0121",49500,123300,900,900,0,0,5228100,189900,227700,9000,900,900,0,162000,5400
"P1_C0122",54000,149400,18900,19800,0,0,4710600,138600,139500,22500,19800,193500,0,501300,33300
"P1_C0123",105300,294300,8100,0,0,0,3009600,667800,80100,23400,6300,0,0,1545300,261900
"P1_C0124",22500,140400,2700,0,0,0,2496600,2035800,210600,54900,61200,16200,0,944100,11700
"P1_C0125",25200,259200,52200,23400,2700,0,1802700,2361600,224100,183600,126900,166500,0,763200,10800
"P1_C0126",27000,234000,20700,15300,900,3600,2916900,594900,184500,117000,206100,89100,0,1581300,8100
"P1_C0127",233100,125100,78300,12600,4500,0,1593000,74700,123300,0,20700,672300,729000,2094300,241200
"P1_C0128",23400,225000,0,0,0,0,4197600,587700,108900,212400,14400,0,0,617400,4500
"P1_C0129",243900,99900,75600,7200,1800,0,1127700,92700,80100,2700,22500,599400,601200,2747700,297900
"P1_C0130",135000,333000,66600,15300,4500,32400,2721600,351000,102600,50400,51300,1443600,52200,544500,102600
"P1_C0131",137700,343800,82800,29700,4500,25200,2907000,462600,140400,55800,54000,1137600,52200,488700,75600
"P1_C0132",39600,131400,0,0,0,0,3624300,674100,161100,142200,488700,0,0,725400,14400
"P1_C0133",36900,174600,1800,0,0,0,4644000,269100,175500,235800,43200,20700,0,393300,4500
"P1_C0134",123300,163800,69300,18900,2700,0,1579500,63000,134100,9900,15300,1284300,960300,1368000,207000
"P1_C0135",142200,136800,59400,12600,2700,0,1482300,32400,97200,6300,14400,947700,437400,2368800,261900
"P1_C0136",25200,297000,1800,900,0,4500,4140900,440100,205200,222300,5400,0,0,644400,12600
"P1_C0137",46800,137700,2700,1800,0,0,4708800,379800,153000,132300,252000,6300,0,137700,39600
