"","open_water","developed_open_space","developed_low_intensity","developed_medium_inensity","developed_high_intensity","barren_land","deciduous_forest","evergreen_forest","mixed_forest","shrub_scrub","grassland_herbaceous","pasture_hay","cultivated_crops","woody_wetlands","emergent_herbaceous_wetlands"
"P2_C0053",368100,626400,322200,61200,5400,7200,16236000,4113000,439200,855900,315000,6513300,505800,7319700,1301400
"P2_C0054",340200,1586700,260100,93600,6300,73800,21920400,5256900,3619800,350100,219600,1931400,188100,2920500,229500
"P2_C0055",122400,1631700,209700,109800,5400,13500,20021400,7439400,1860300,1386000,661500,397800,0,5030100,103500
"P2_C0056",283500,1181700,102600,36000,8100,0,22515300,275400,223200,2110500,271800,6120900,153900,4380300,1322100
"P2_C0057",956700,832500,111600,38700,9900,1800,21214800,954000,262800,1484100,195300,6550200,324900,4858200,1201500
"P2_C0058",344700,1506600,256500,100800,5400,73800,22199400,5476500,3465000,372600,193500,1581300,188100,3055500,171000
"P2_C0059",288900,1222200,104400,36000,9000,0,22825800,323100,232200,1544400,194400,7110900,1800,3913200,1201500
"P2_C0060",504000,1545300,199800,119700,5400,17100,20108700,7028100,1761300,1094400,544500,377100,0,5557500,125100
"P2_C0061",362700,1575900,261000,91800,6300,72900,22672800,4855500,3418200,348300,215100,1864800,188100,2834100,222300
"P2_C0062",477000,1138500,78300,34200,0,29700,28153800,1592100,2082600,232200,235800,572400,0,4123800,228600
"P2_C0063",628200,1114200,72900,32400,0,900,28206900,1857600,2029500,343800,177300,513900,0,3815100,201600
"P2_C0064",55800,1400400,86400,35100,7200,38700,18476100,6185700,4037400,321300,452700,1041300,3059100,3626100,171000
"P2_C0065",151200,1598400,234000,93600,4500,72900,20547000,5913000,4266900,372600,189900,2013300,188100,3125700,223200
"P2_C0066",104400,1610100,276300,155700,26100,155700,13764600,6822000,3312900,381600,439200,3466800,3708900,4633200,128700
"P2_C0067",354600,616500,315900,50400,4500,2700,16577100,4297500,498600,837900,321300,6261300,334800,7300800,1212300
"P2_C0068",810900,801000,281700,47700,3600,2700,17831700,4160700,514800,930600,450000,4610700,137700,7242300,1172700
"P2_C0069",354600,616500,315900,50400,5400,2700,16594200,4301100,501300,840600,322200,6241500,332100,7293600,1210500
"P2_C0070",1636200,797400,115200,38700,9900,2700,20976300,999900,285300,1553400,178200,6477300,261900,4589100,1064700
"P2_C0071",2225700,742500,97200,30600,6300,2700,20991600,1178100,336600,1480500,185400,5752800,164700,4806900,982800
"P2_C0072",183600,575100,347400,75600,5400,5400,15860700,3505500,376200,766800,132300,7864200,1176300,6788700,1330200
"P2_C0073",391500,746100,276300,60300,3600,7200,18390600,3655800,441900,870300,286200,5524200,520200,6458400,1349100
"P2_C0074",684000,1085400,89100,38700,900,8100,28231200,2331900,2062800,334800,157500,947700,0,2873700,139500
"P2_C0075",625500,1281600,164700,96300,5400,19800,22410900,5363100,1434600,1094400,499500,351900,0,5510700,119700
"P2_C0076",286200,1228500,104400,37800,10800,0,22943700,310500,200700,1490400,198000,7322400,1800,3679200,1179000
"P2_C0077",190800,557100,365400,80100,5400,6300,14348700,3603600,375300,725400,157500,8978400,1319400,6905700,1362600
"P2_C0078",108000,1480500,200700,108000,5400,20700,20354400,6913800,1646100,1553400,774900,356400,0,5341500,126000
"P2_C0079",266400,1632600,207000,117900,6300,13500,20169000,7375500,1956600,1126800,607500,364500,0,5044500,98100
"P2_C0080",587700,1425600,181800,108900,5400,20700,21065400,6147000,1593900,1000800,513000,372600,0,5830200,147600
"P2_C0081",459000,1232100,108900,36900,9000,0,22903200,414900,268200,1375200,189000,7387200,1800,3513600,1088100
"P2_C0082",750600,1084500,84600,38700,900,17100,27915300,2450700,2083500,375300,137700,921600,0,2960100,167400
"P2_C0083",246600,989100,112500,39600,9000,900,22285800,584100,225000,1413000,214200,6973200,338400,4375800,1174500
"P2_C0084",821700,1548900,234900,97200,4500,72000,22469400,5640300,3144600,455400,211500,1194300,32400,2867400,199800
"P2_C0085",234000,1573200,252900,94500,4500,67500,20795400,5292000,3870000,344700,196200,2199600,246600,3332700,473400
"P2_C0086",333000,1559700,255600,93600,5400,63000,21680100,4795200,3600000,324000,211500,2130300,199800,3258000,477000
"P2_C0087",420300,1534500,259200,94500,5400,79200,22982400,5205600,3261600,342900,167400,1527300,188100,2748600,174600
"P2_C0088",86400,1492200,230400,90000,9000,187200,14137200,6312600,3291300,385200,426600,3930300,3619800,4599000,188100
"P2_C0089",285300,1621800,256500,107100,5400,73800,21319200,5696100,3830400,369900,215100,1784700,188100,3067200,178200
"P2_C0090",630900,1081800,93600,43200,900,7200,28908900,1750500,1749600,310500,277200,1165500,0,2755800,216000
"P2_C0091",47700,1335600,82800,33300,3600,37800,16586100,7569900,4180500,300600,244800,1709100,2787300,3927600,154800
"P2_C0092",121500,1492200,198000,109800,5400,20700,20752200,6422400,1593900,1617300,784800,375300,0,5364900,137700
"P2_C0093",396000,1749600,139500,90000,13500,13500,22125600,7021800,3756600,260100,366300,200700,167400,2538900,153000
"P2_C0094",250200,937800,126900,57600,9900,1800,22116600,972900,270000,1356300,217800,7999200,22500,3440700,1206900
"P2_C0095",327600,1621800,293400,165600,23400,200700,13491900,6993000,3204900,407700,466200,3585600,3324600,4699800,181800
"P2_C0096",474300,1663200,207900,130500,6300,13500,19794600,7531200,1944900,1062000,526500,335700,0,5191200,101700
"P2_C0097",976500,844200,57600,28800,900,0,26996400,1892700,1549800,504900,200700,483300,0,5383800,69300
"P2_C0098",1003500,936000,61200,30600,900,0,26837100,2112300,1699200,439200,187200,496800,0,5112900,70200
"P2_C0099",1011600,1033200,63000,35100,900,0,27170100,2173500,1677600,515700,196200,473400,0,4557600,83700
"P2_C0100",971100,846900,62100,23400,1800,0,26646300,2129400,1469700,557100,240300,258300,0,5706000,77400
"P2_C0101",991800,863100,58500,29700,900,0,26991900,1997100,1638900,458100,189900,469800,0,5235300,69300
"P2_C0102",297900,634500,8100,3600,0,0,26209800,2857500,908100,1695600,925200,0,0,5340600,110700
"P2_C0103",411300,1637100,27900,4500,0,0,22418100,1889100,1283400,775800,973800,0,0,7785900,1784700
"P2_C0104",276300,843300,9000,2700,0,0,28323900,2583900,1005300,1062000,985500,0,0,3775500,116100
"P2_C0105",113400,1561500,27000,7200,0,900,27088200,1802700,1440000,750600,942300,0,0,4961700,288000
"P2_C0106",320400,1620900,27900,6300,0,0,23463000,1908000,1264500,754200,1148400,0,0,6978600,1494900
"P2_C0107",707400,3142800,2067300,1574100,551700,5400,7481700,2262600,1039500,212400,295200,10064700,2636100,6257700,683100
"P2_C0108",596700,1379700,172800,104400,5400,20700,21522600,5782500,1357200,1222200,575100,384300,0,5753700,117900
"P2_C0109",617400,1415700,192600,73800,11700,77400,20916000,2140200,1568700,311400,353700,8199000,100800,2564100,453600
"P2_C0110",515700,1097100,72900,33300,0,11700,28331100,1646100,2081700,281700,220500,524700,0,3952800,222300
"P2_C0111",1592100,1084500,17100,900,0,900,24774300,4140900,829800,531000,54900,0,0,5423400,539100
"P2_C0112",1901700,1060200,15300,900,0,900,24128100,4175100,923400,455400,57600,0,0,5739300,538200
"P2_C0113",624600,1342800,194400,76500,11700,78300,20864700,2111400,1588500,328500,405900,8171100,100800,2662200,432900
"P2_C0114",362700,635400,166500,34200,0,1800,23030100,4225500,1741500,1285200,619200,1800,0,6761700,114300
"P2_C0115",2142900,995400,11700,900,0,0,24210900,4000500,801000,293400,59400,1800,0,5606100,869400
"P2_C0116",323100,1089000,14400,2700,0,4500,27686700,3565800,1017000,799200,455400,0,0,3880800,138600
